,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
18WESCCC2-123-0L,10YES-REE------0,401.3,ESC GDF 2,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WESCCC3-123-0D,10YES-REE------0,395.2,ESC GDF 3,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WFFNEXU-1234-4,10YES-REE------0,217.7,FFNEXU,Solar,2023-12-31 23:00:00+00:00,220
18WFFWMARK-123-7,10YES-REE------0,195.6,FFWMARK,Solar,2024-12-31 23:00:00+00:00,400
18WGDLQ-12345-0A,10YES-REE------0,423.9,GUADALQUIV,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,132
18WGDNA-12345-00,10YES-REE------0,218.6,GUADIANA,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,132
18WGUIB-12345-0Q,10YES-REE------0,225,GUILLENA B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WGUIG-12345-0D,10YES-REE------0,206.7,GUILLENA G,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WHCHI-12345-0M,10YES-REE------0,425.1,HC-HIDRAUL,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,132
18WHFEGED-1234-V,10YES-REE------0,174.4,HTARIFA,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WHFGASN-1234-B,10YES-REE------0,110.4,HFGASN,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WHFIBGES-123-H,10YES-REE------0,111.9,HFIBGES,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
18WJUCA-12345-0Q,10YES-REE------0,739,JUCAR,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
18WMALA1-12345-L,10YES-REE------0,415.5,MALA1,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WMLTB-12345-09,10YES-REE------0,219,MORALET B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WMLTG-12345-0X,10YES-REE------0,219.1,MORALET G,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WMUEB-12345-0T,10YES-REE------0,1390,MUELA B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,400
18WMUEL-12345-03,10YES-REE------0,1511.7,MUELA G,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,400
18WPALOS1-123-0Z,10YES-REE------0,386.7,PALOS1,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WPALOS2-123-0R,10YES-REE------0,389.1,PALOS2,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WPALOS3-123-0J,10YES-REE------0,391,PALOS3,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WPBCN1-12345-D,10YES-REE------0,434.8,PBCN1,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WPBCN2-12345-4,10YES-REE------0,431.4,PBCN2,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WPGR5-123456-J,10YES-REE------0,855.6,P.G.RODR 5,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WPVENT1--1234A,10YES-REE------0,420.1,PVENT1,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WPVENT2--12342,10YES-REE------0,414,Plana del Vent,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WSAGU1-123--0J,10YES-REE------0,409.7,SAGU1,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WSAGU2-123--0A,10YES-REE------0,411.8,SAGU2,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WSAGU3-123--01,10YES-REE------0,410.6,SAGU3,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WSBEU-12345-0Q,10YES-REE------0,625.9,SIL-BIB-EU,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WSBO3-12345-01,10YES-REE------0,391.3,SABON 3,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WSIL-123456-0G,10YES-REE------0,1556.6,SIL G,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WSILB-12345-0I,10YES-REE------0,412,SIL B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WSLTB-12345-05,10YES-REE------0,400,SALLENT B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,400
18WSLTG-12345-0T,10YES-REE------0,439.2,SALLENT G,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,400
18WSPSAETI-123-T,10YES-REE------0,100,PALMASAETI,Solar,2023-12-31 23:00:00+00:00,220
18WSRI3-12345-0N,10YES-REE------0,346.2,SOTORIBE 3,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
18WSRI5-123456-L,10YES-REE------0,428.1,SOTO5,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WSROQ1-1234-06,10YES-REE------0,389.8,SANROQUE1,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WSROQ2-1234-0Y,10YES-REE------0,401.8,SANROQUE2,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WSTC4-12345-0I,10YES-REE------0,396.4,SANTURCE 4,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WTAJB-12345-0C,10YES-REE------0,380,TAJO B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WTAJO-12345-0U,10YES-REE------0,2232.3,TAJO G,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
18WTANB-12345-05,10YES-REE------0,110,TANES B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,132
18WTAPOWER-12-0V,10YES-REE------0,416.9,TARRAG IB,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WTEES-12345-0Y,10YES-REE------0,113.7,TERA-ESLA,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,132
18WTERE-12345-0V,10YES-REE------0,150.8,TER,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,110
18WTFIBGES-123-9,10YES-REE------0,134.6,TFIBGES,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WTJEB-12345-0X,10YES-REE------0,420,TAJOENC B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WTJEG-12345-0K,10YES-REE------0,376.7,TAJOENC G,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WTRL1-12345-0Y,10YES-REE------0,1003.4,TRILLO,Nuclear,2023-12-31 23:00:00+00:00,400
18WUFBB-12345-0R,10YES-REE------0,208,BOLARQUE B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WUFBG-12345-0E,10YES-REE------0,215,BOLARQUE G,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
18WUFGC--1234-00,10YES-REE------0,385.4,GNF GALCOS,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WUFMI-12345-0L,10YES-REE------0,941.1,GNF MI¿O,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WUFTA-12345-0O,10YES-REE------0,388.4,GNF TAJO,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,132
18WVAN2-12345-0W,10YES-REE------0,1045.3,VANDELLOS,Nuclear,2023-12-31 23:00:00+00:00,400
18WVIES-12345-0Y,10YES-REE------0,331.3,UGH EON,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
