,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
11WD7RHAU5G-3--3,10Y1001A1001A82H,274,HKW III,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD7SCHO-S--KWW,10Y1001A1001A82H,828,Scholven,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD7STUM----KW9,10Y1001A1001A82H,850,KW Hamm-Uentrop,Fossil Gas,2023-12-31 23:00:00+00:00,380
11WD7UCHT5XROSOK,10Y1001A1001A82H,125,Kraftwerk Römerbrücke,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD7VOLK5S--KWI,10Y1001A1001A82H,390,Voelklingen,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
11WD7WALS1S--KW0,10Y1001A1001A82H,725,Walsum,Fossil Hard coal,2024-12-31 23:00:00+00:00,380
11WD7WEIH2S--KWV,10Y1001A1001A82H,656,Weiher,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
11WD7WEIS-B-KW-C,10Y1001A1001A82H,2070,Weisweiler,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
11WD8BALT3W---PS,10Y1001A1001A82H,336.3,Windpark Baltic 1 and 2,Wind Offshore,2023-12-31 23:00:00+00:00,380
11WD8BOXB1L----J,10Y1001A1001A82H,2470,KW Boxberg,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
11WD8CHAR5X----K,10Y1001A1001A82H,146,Charlottenburg,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD8DRES5X---PZ,10Y1001A1001A82H,260,GTHKW Nossener Bruecke,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD8GEHA5H----R,10Y1001A1001A82H,120,PSW Geesthacht,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,110
11WD8GOLD1H----6,10Y1001A1001A82H,1060,PSW Goldisthal,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
11WD8HAVLXW---PM,10Y1001A1001A82H,147,Windpark Havelland,Wind Onshore,2023-12-31 23:00:00+00:00,380
11WD8HOH22H----1,10Y1001A1001A82H,320,PSW Hohenwarte II,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
11WD8JAEN1L----Z,10Y1001A1001A82H,2998,KW Jänschwalde,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
